_id,timestamp,device_id,package_name,before_text,current_text,is_password
1,1760445945533.0,a9d21503-0224-466f-9808-79d25601165f,com.aware.phone,honor70-141025,[honor70-141025s],0
2,1760445948320.0,a9d21503-0224-466f-9808-79d25601165f,com.aware.phone,honor70-141025s,[honor70-141025se],0
3,1760445949109.0,a9d21503-0224-466f-9808-79d25601165f,com.aware.phone,honor70-141025se,[honor70-141025sel],0
4,1760445949942.0,a9d21503-0224-466f-9808-79d25601165f,com.aware.phone,honor70-141025sela,[honor70-141025selam],0
5,1760445950280.0,a9d21503-0224-466f-9808-79d25601165f,com.aware.phone,honor70-141025selam,[honor70-141025selaml],0
6,1760445954704.0,a9d21503-0224-466f-9808-79d25601165f,com.aware.phone,honor70-141025selaml,[honor70-141025selam],0
7,1760445954880.0,a9d21503-0224-466f-9808-79d25601165f,com.aware.phone,honor70-141025selam,[honor70-141025sela],0
8,1760445955043.0,a9d21503-0224-466f-9808-79d25601165f,com.aware.phone,honor70-141025sela,[honor70-141025sel],0
9,1760445955203.0,a9d21503-0224-466f-9808-79d25601165f,com.aware.phone,honor70-141025sel,[honor70-141025se],0
10,1760445955367.0,a9d21503-0224-466f-9808-79d25601165f,com.aware.phone,honor70-141025se,[honor70-141025s],0
11,1760445955535.0,a9d21503-0224-466f-9808-79d25601165f,com.aware.phone,honor70-141025s,[honor70-141025],0
12,1760445955706.0,a9d21503-0224-466f-9808-79d25601165f,com.aware.phone,honor70-141025,[honor70-14102],0
13,1760445957480.0,a9d21503-0224-466f-9808-79d25601165f,com.aware.phone,honor70-14102,[honor70-141024],0
14,1760445959186.0,a9d21503-0224-466f-9808-79d25601165f,com.aware.phone,honor70-14102,[honor70-141025],0
15,1760445965632.0,a9d21503-0224-466f-9808-79d25601165f,com.whatsapp,F,[Fj],0
16,1760445966798.0,a9d21503-0224-466f-9808-79d25601165f,com.whatsapp,F,[Message],0
17,1760445968325.0,a9d21503-0224-466f-9808-79d25601165f,com.whatsapp,,[F],0
18,1760445969922.0,a9d21503-0224-466f-9808-79d25601165f,com.whatsapp,F,[Message],0
19,1760446938665.0,a9d21503-0224-466f-9808-79d25601165f,com.whatsapp,​D,[​Dk],0
20,1760446939001.0,a9d21503-0224-466f-9808-79d25601165f,com.whatsapp,​Dk,[​Dks],0
21,1760446940835.0,a9d21503-0224-466f-9808-79d25601165f,com.whatsapp,​Dks,[​Dk],0
22,1760446941273.0,a9d21503-0224-466f-9808-79d25601165f,com.whatsapp,​Dk,[​D],0
23,1760447903421.0,a9d21503-0224-466f-9808-79d25601165f,com.android.chrome,,[ab kktc dedi],0
24,1760447905546.0,a9d21503-0224-466f-9808-79d25601165f,com.android.chrome,ab kktc dedi,[ab kktc ded],0
25,1760447905870.0,a9d21503-0224-466f-9808-79d25601165f,com.android.chrome,ab kktc ded,[ab kktc de],0
